company,financial_year,ytd_upto_month,segment,premium_ytd
Bajaj Allianz General Insurance Co Ltd,FY25,APR,fire,773.92
Bajaj Allianz General Insurance Co Ltd,FY24,APR,fire,689.31
Cholamandalam MS General Insurance Co Ltd,FY25,APR,fire,123.31
Cholamandalam MS General Insurance Co Ltd,FY24,APR,fire,120.52
Future Generali India Insurance Co Ltd,FY25,APR,fire,158.56
Future Generali India Insurance Co Ltd,FY24,APR,fire,122.61
Go Digit General Insurance Ltd,FY25,APR,fire,213.49
Go Digit General Insurance Ltd,FY24,APR,fire,148.12
HDFC Ergo General Insurance Co Ltd,FY25,APR,fire,524.92
HDFC Ergo General Insurance Co Ltd,FY24,APR,fire,512.01
ICICI Lombard General Insurance Co Ltd,FY25,APR,fire,928.01
ICICI Lombard General Insurance Co Ltd,FY24,APR,fire,812.94
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,fire,227.87
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,fire,188.98
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,fire,7.02
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,fire,13.41
Liberty  General Insurance Co. Ltd,FY25,APR,fire,12.65
Liberty  General Insurance Co. Ltd,FY24,APR,fire,11.05
Magma General Insurance Limited,FY25,APR,fire,63.4
Magma General Insurance Limited,FY24,APR,fire,57.43
National Insurance Co Ltd,FY25,APR,fire,287.95
National Insurance Co Ltd,FY24,APR,fire,212.98
Raheja QBE General Insurance Co Ltd,FY25,APR,fire,1.18
Raheja QBE General Insurance Co Ltd,FY24,APR,fire,1.52
Reliance General Insurance Co Ltd,FY25,APR,fire,537.83
Reliance General Insurance Co Ltd,FY24,APR,fire,474.14
Royal Sundaram General Insurance Co Ltd,FY25,APR,fire,90.8
Royal Sundaram General Insurance Co Ltd,FY24,APR,fire,79.68
SBI General Insurance Co Ltd,FY25,APR,fire,320.76
SBI General Insurance Co Ltd,FY24,APR,fire,246.17
Shriram General Insurance Co Ltd,FY25,APR,fire,13.9
Shriram General Insurance Co Ltd,FY24,APR,fire,10.85
Tata AIG General Insurance Co Ltd,FY25,APR,fire,444.17
Tata AIG General Insurance Co Ltd,FY24,APR,fire,533.29
The New India Assurance Co Ltd,FY25,APR,fire,1058.45
The New India Assurance Co Ltd,FY24,APR,fire,791.67
The Oriental Insurance Co Ltd,FY25,APR,fire,339.94
The Oriental Insurance Co Ltd,FY24,APR,fire,290.95
United India Insurance Co Ltd,FY25,APR,fire,253.44
United India Insurance Co Ltd,FY24,APR,fire,206.24
Universal Sompo General Insurance Co Ltd,FY25,APR,fire,113.11
Universal Sompo General Insurance Co Ltd,FY24,APR,fire,73.66
Zuno General Insurance Co Ltd,FY25,APR,fire,13.83
Zuno General Insurance Co Ltd,FY24,APR,fire,13.44
Bajaj Allianz General Insurance Co Ltd,FY25,APR,marine_total,72.96
Bajaj Allianz General Insurance Co Ltd,FY24,APR,marine_total,59.15
Cholamandalam MS General Insurance Co Ltd,FY25,APR,marine_total,30.75
Cholamandalam MS General Insurance Co Ltd,FY24,APR,marine_total,25.45
Future Generali India Insurance Co Ltd,FY25,APR,marine_total,20.31
Future Generali India Insurance Co Ltd,FY24,APR,marine_total,19.06
Go Digit General Insurance Ltd,FY25,APR,marine_total,21.91
Go Digit General Insurance Ltd,FY24,APR,marine_total,19.31
HDFC Ergo General Insurance Co Ltd,FY25,APR,marine_total,33.25
HDFC Ergo General Insurance Co Ltd,FY24,APR,marine_total,36.41
ICICI Lombard General Insurance Co Ltd,FY25,APR,marine_total,176.41
ICICI Lombard General Insurance Co Ltd,FY24,APR,marine_total,191.23
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,marine_total,42.28
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,marine_total,30.07
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,marine_total,2.16
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,marine_total,2.11
Liberty  General Insurance Co. Ltd,FY25,APR,marine_total,3.83
Liberty  General Insurance Co. Ltd,FY24,APR,marine_total,3.24
Magma General Insurance Limited,FY25,APR,marine_total,3.58
Magma General Insurance Limited,FY24,APR,marine_total,4.4
National Insurance Co Ltd,FY25,APR,marine_total,19.13
National Insurance Co Ltd,FY24,APR,marine_total,32.11
Reliance General Insurance Co Ltd,FY25,APR,marine_total,35.11
Reliance General Insurance Co Ltd,FY24,APR,marine_total,38.83
Royal Sundaram General Insurance Co Ltd,FY25,APR,marine_total,10.26
Royal Sundaram General Insurance Co Ltd,FY24,APR,marine_total,10.21
SBI General Insurance Co Ltd,FY25,APR,marine_total,18.62
SBI General Insurance Co Ltd,FY24,APR,marine_total,15.95
Shriram General Insurance Co Ltd,FY25,APR,marine_total,0.29
Shriram General Insurance Co Ltd,FY24,APR,marine_total,0.15
Tata AIG General Insurance Co Ltd,FY25,APR,marine_total,120.09
Tata AIG General Insurance Co Ltd,FY24,APR,marine_total,109.46
The New India Assurance Co Ltd,FY25,APR,marine_total,146.4
The New India Assurance Co Ltd,FY24,APR,marine_total,120.09
The Oriental Insurance Co Ltd,FY25,APR,marine_total,68.23
The Oriental Insurance Co Ltd,FY24,APR,marine_total,64.23
United India Insurance Co Ltd,FY25,APR,marine_total,35.36
United India Insurance Co Ltd,FY24,APR,marine_total,35.45
Universal Sompo General Insurance Co Ltd,FY25,APR,marine_total,9.6
Universal Sompo General Insurance Co Ltd,FY24,APR,marine_total,8.07
Bajaj Allianz General Insurance Co Ltd,FY25,APR,engineering,51.8
Bajaj Allianz General Insurance Co Ltd,FY24,APR,engineering,56.32
Cholamandalam MS General Insurance Co Ltd,FY25,APR,engineering,5.16
Cholamandalam MS General Insurance Co Ltd,FY24,APR,engineering,4.98
Future Generali India Insurance Co Ltd,FY25,APR,engineering,8.81
Future Generali India Insurance Co Ltd,FY24,APR,engineering,6.52
Go Digit General Insurance Ltd,FY25,APR,engineering,13.89
Go Digit General Insurance Ltd,FY24,APR,engineering,7.0
HDFC Ergo General Insurance Co Ltd,FY25,APR,engineering,53.58
HDFC Ergo General Insurance Co Ltd,FY24,APR,engineering,33.74
ICICI Lombard General Insurance Co Ltd,FY25,APR,engineering,133.71
ICICI Lombard General Insurance Co Ltd,FY24,APR,engineering,124.7
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,engineering,23.64
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,engineering,22.5
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,engineering,2.73
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,engineering,1.06
Liberty  General Insurance Co. Ltd,FY25,APR,engineering,3.84
Liberty  General Insurance Co. Ltd,FY24,APR,engineering,3.1
Magma General Insurance Limited,FY25,APR,engineering,4.05
Magma General Insurance Limited,FY24,APR,engineering,0.87
National Insurance Co Ltd,FY25,APR,engineering,51.65
National Insurance Co Ltd,FY24,APR,engineering,43.89
Raheja QBE General Insurance Co Ltd,FY25,APR,engineering,0.09
Raheja QBE General Insurance Co Ltd,FY24,APR,engineering,0.15
Reliance General Insurance Co Ltd,FY25,APR,engineering,98.79
Reliance General Insurance Co Ltd,FY24,APR,engineering,81.71
Royal Sundaram General Insurance Co Ltd,FY25,APR,engineering,5.82
Royal Sundaram General Insurance Co Ltd,FY24,APR,engineering,7.56
SBI General Insurance Co Ltd,FY25,APR,engineering,14.08
SBI General Insurance Co Ltd,FY24,APR,engineering,12.8
Shriram General Insurance Co Ltd,FY25,APR,engineering,2.29
Shriram General Insurance Co Ltd,FY24,APR,engineering,1.87
Tata AIG General Insurance Co Ltd,FY25,APR,engineering,27.25
Tata AIG General Insurance Co Ltd,FY24,APR,engineering,21.1
The New India Assurance Co Ltd,FY25,APR,engineering,97.66
The New India Assurance Co Ltd,FY24,APR,engineering,67.71
The Oriental Insurance Co Ltd,FY25,APR,engineering,42.04
The Oriental Insurance Co Ltd,FY24,APR,engineering,45.71
United India Insurance Co Ltd,FY25,APR,engineering,46.34
United India Insurance Co Ltd,FY24,APR,engineering,42.82
Universal Sompo General Insurance Co Ltd,FY25,APR,engineering,1.77
Universal Sompo General Insurance Co Ltd,FY24,APR,engineering,1.7
Zuno General Insurance Co Ltd,FY25,APR,engineering,0.16
Zuno General Insurance Co Ltd,FY24,APR,engineering,0.77
Acko General Insurance Ltd,FY25,APR,motor_total,76.86
Acko General Insurance Ltd,FY24,APR,motor_total,66.9
Bajaj Allianz General Insurance Co Ltd,FY25,APR,motor_total,546.71
Bajaj Allianz General Insurance Co Ltd,FY24,APR,motor_total,543.62
Cholamandalam MS General Insurance Co Ltd,FY25,APR,motor_total,404.49
Cholamandalam MS General Insurance Co Ltd,FY24,APR,motor_total,381.83
Future Generali India Insurance Co Ltd,FY25,APR,motor_total,151.8
Future Generali India Insurance Co Ltd,FY24,APR,motor_total,167.56
Go Digit General Insurance Ltd,FY25,APR,motor_total,496.64
Go Digit General Insurance Ltd,FY24,APR,motor_total,393.27
HDFC Ergo General Insurance Co Ltd,FY25,APR,motor_total,193.08
HDFC Ergo General Insurance Co Ltd,FY24,APR,motor_total,319.97
ICICI Lombard General Insurance Co Ltd,FY25,APR,motor_total,845.99
ICICI Lombard General Insurance Co Ltd,FY24,APR,motor_total,778.79
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,motor_total,321.81
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,motor_total,294.25
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,motor_total,82.1
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,motor_total,74.12
Liberty  General Insurance Co. Ltd,FY25,APR,motor_total,127.48
Liberty  General Insurance Co. Ltd,FY24,APR,motor_total,124.87
Magma General Insurance Limited,FY25,APR,motor_total,166.89
Magma General Insurance Limited,FY24,APR,motor_total,168.47
National Insurance Co Ltd,FY25,APR,motor_total,435.32
National Insurance Co Ltd,FY24,APR,motor_total,357.78
Navi General Insurance Co. Ltd,FY25,APR,motor_total,0.11
Navi General Insurance Co. Ltd,FY24,APR,motor_total,0.12
Raheja QBE General Insurance Co Ltd,FY25,APR,motor_total,3.24
Raheja QBE General Insurance Co Ltd,FY24,APR,motor_total,26.63
Reliance General Insurance Co Ltd,FY25,APR,motor_total,313.4
Reliance General Insurance Co Ltd,FY24,APR,motor_total,342.74
Royal Sundaram General Insurance Co Ltd,FY25,APR,motor_total,178.8
Royal Sundaram General Insurance Co Ltd,FY24,APR,motor_total,183.79
